series_animedb_id,series_title,series_type,series_episodes,my_watched_episodes,my_start_date,my_finish_date,my_score,my_status,my_times_watched,my_priority,my_tags
35790,Tate no Yuusha no Nariagari,TV,25,25,0000-00-00,0000-00-00,8,Completed,0,LOW,covid2020
40356,Tate no Yuusha no Nariagari Season 2,TV,13,1,4/7/2022,0000-00-00,2,Dropped,0,MEDIUM,
40357,Tate no Yuusha no Nariagari Season 3,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
38826,Tenki no Ko,Movie,1,1,0000-00-00,0000-00-00,9,Completed,0,LOW,covid2020
513,Tenkuu no Shiro Laputa,Movie,1,1,0000-00-00,0000-00-00,6,Completed,0,LOW,covid2020
43690,Tenkuu Shinpan,ONA,12,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
37430,Tensei shitara Slime Datta Ken,TV,24,24,0000-00-00,0000-00-00,9,Completed,0,LOW,"covid2020, favorites"
39551,Tensei shitara Slime Datta Ken 2nd Season,TV,12,12,1/12/2021,3/30/2021,9,Completed,0,HIGH,"hype, preliminary, 2021"
41487,Tensei shitara Slime Datta Ken 2nd Season Part 2,TV,12,12,7/6/2021,9/21/2021,7,Completed,0,LOW,"2021, preliminary"
49877,Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,Movie,1,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
38793,Tensei shitara Slime Datta Ken OVA,OVA,5,5,0000-00-00,0000-00-00,7,Completed,0,LOW,covid2020
45753,Tensei shitara Slime Datta Ken: Kanwa - Hinata Sakaguchi,Special,1,1,0000-00-00,0000-00-00,6,Completed,0,LOW,
41488,Tensura Nikki: Tensei shitara Slime Datta Ken,TV,12,12,0000-00-00,0000-00-00,8,Completed,0,LOW,"2021, preliminary, seasonal"
41353,The God of High School,TV,13,13,0000-00-00,0000-00-00,6,Completed,0,LOW,"covid2020, preliminary, seasonal"
10278,The iDOLM@STER,TV,25,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
6213,Toaru Kagaku no Railgun,TV,24,12,3/6/2021,0000-00-00,0,On-Hold,0,LOW,2021
42249,Tokyo Revengers,TV,24,24,4/11/2021,9/19/2021,9,Completed,0,LOW,"2021, seasonal, preliminary, favorites"
50608,Tokyo Revengers: Seiya Kessen-hen,TV,13,0,0000-00-00,0000-00-00,0,Watching,0,LOW,
52305,Tomo-chan wa Onnanoko!,TV,13,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
523,Tonari no Totoro,Movie,1,1,0000-00-00,0000-00-00,6,Completed,0,LOW,
41389,Tonikaku Kawaii,TV,12,12,0000-00-00,12/18/2020,9,Completed,0,LOW,"covid2020, preliminary, favorites, seasonal"
44931,Tonikaku Kawaii: SNS,OVA,1,1,0000-00-00,9/9/2021,6,Completed,0,LOW,2021
4224,Toradora!,TV,25,25,0000-00-00,0000-00-00,7,Completed,0,LOW,
25157,Trinity Seven,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
34822,Tsuki ga Kirei,TV,12,2,10/13/2021,0000-00-00,5,Dropped,0,LOW,
34902,Tsurezure Children,TV,12,2,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
38573,Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka?,TV,12,0,0000-00-00,0000-00-00,0,Dropped,0,LOW,
34498,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",Movie,1,1,3/31/2021,3/31/2021,3,Completed,0,LOW,2021
41392,Urasekai Picnic,TV,12,1,0000-00-00,0000-00-00,5,Dropped,0,LOW,"2021, preliminary, seasonal"
21103,Utopia,Music,1,1,0000-00-00,0000-00-00,0,Completed,0,LOW,
41226,Uzaki-chan wa Asobitai!,TV,12,12,0000-00-00,9/26/2020,5,Completed,0,LOW,"covid2020, preliminary, seasonal"
42962,Uzaki-chan wa Asobitai! Double,TV,13,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
48580,Vanitas no Karte,TV,12,12,7/2/2021,9/18/2021,7,Completed,0,LOW,"2021, preliminary, seasonal"
49114,Vanitas no Karte Part 2,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
37521,Vinland Saga,TV,24,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
33352,Violet Evergarden,TV,13,13,0000-00-00,0000-00-00,9,Completed,0,LOW,"covid2020, favorites"
39741,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie,1,1,0000-00-00,0000-00-00,9,Completed,0,LOW,"covid2020, favorites"
37987,Violet Evergarden Movie,Movie,1,1,0000-00-00,8/29/2021,10,Completed,0,LOW,2021
37095,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Special,1,1,0000-00-00,0000-00-00,9,Completed,0,LOW,
46095,Vivy: Fluorite Eye's Song,TV,13,13,0000-00-00,6/20/2021,9,Completed,0,LOW,"2021, seasonal, preliminary, favorites"
32899,Watashi ga Motete Dousunda,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
37993,Watashi ni Tenshi ga Maiorita!,TV,12,12,0000-00-00,0000-00-00,6,Completed,0,LOW,"binge, 2021"
18245,White Album 2,TV,13,13,12/16/2020,12/17/2020,7,Completed,0,LOW,binge
43299,Wonder Egg Priority,TV,12,12,0000-00-00,3/30/2021,6,Completed,0,LOW,"2021, preliminary, seasonal"
35968,Wotaku ni Koi wa Muzukashii,TV,11,11,0000-00-00,0000-00-00,8,Completed,0,LOW,"covid2020, binge"
38349,Wotaku ni Koi wa Muzukashii OVA,OVA,3,3,0000-00-00,3/27/2021,8,Completed,0,LOW,2021
37786,Yagate Kimi ni Naru,TV,13,13,0000-00-00,0000-00-00,8,Completed,0,LOW,"covid2020, favorites"
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,13,13,12/19/2020,0000-00-00,5,Completed,0,LOW,binge
39547,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,12,12,0000-00-00,0000-00-00,7,Completed,0,LOW,"r/animeawards2020-2021, favorites, binge"
46431,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan: Dakara, Shishunki wa Owarazu ni, Seishun wa Tsuzuiteiku.",OVA,1,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,13,0000-00-00,0000-00-00,4,Completed,0,LOW,binge
33161,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA,1,1,0000-00-00,0000-00-00,9,Completed,0,LOW,2021
37779,Yakusoku no Neverland,TV,12,12,0000-00-00,0000-00-00,9,Completed,0,LOW,
39617,Yakusoku no Neverland 2nd Season,TV,11,11,1/6/2021,3/26/2021,2,Completed,0,LOW,"2021, preliminary"
28677,Yamada-kun to 7-nin no Majo,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
39710,Yesterday wo Utatte,TV,12,4,0000-00-00,0000-00-00,4,Dropped,0,LOW,"covid2020, seasonal"
50346,Yofukashi no Uta,TV,13,4,7/25/2022,0000-00-00,0,Watching,0,LOW,
48653,Yoru ni Kakeru,Music,1,1,0000-00-00,0000-00-00,0,Completed,0,LOW,
32615,Youjo Senki,TV,12,2,0000-00-00,0000-00-00,0,Dropped,0,LOW,covid2020
36726,Yuragi-sou no Yuuna-san,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
34798,Yuru Camp△,TV,12,12,0000-00-00,5/18/2021,9,Completed,1,LOW,"covid2020, favorites"
38475,Yuru Camp△ Movie,Movie,1,1,0000-00-00,0000-00-00,9,Completed,0,LOW,
38474,Yuru Camp△ Season 2,TV,13,13,0000-00-00,4/1/2021,10,Completed,1,HIGH,"hype, 2021, preliminary, favorites, top10"
49026,Yuru Camp△ Season 2 Specials,Special,2,2,0000-00-00,3/12/2022,0,Completed,0,LOW,
53410,Yuru Camp△ Season 3,TV,0,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
37341,Yuru Camp△ Specials,Special,3,3,0000-00-00,3/12/2022,0,Completed,0,LOW,
10495,Yuru Yuri,TV,12,12,7/9/2021,7/11/2021,6,Completed,0,LOW,"2021, binge"
23283,Zankyou no Terror,TV,11,11,0000-00-00,0000-00-00,6,Completed,0,LOW,"2021, binge"
37976,Zombieland Saga,TV,12,0,0000-00-00,0000-00-00,0,Plan to Watch,0,LOW,
31245,Zutto Mae kara Suki deshita. Kokuhaku Jikkou Iinkai,Movie,1,1,2/5/2021,2/6/2021,6,Completed,0,LOW,
